rho,p_thin
0.1,0.0
0.5,0.25
1.0,0.5
1.5,0.75
2.0,0.95
2.5,0.96
5.0,0.97
10.0,0.98
15.0,0.99
20.0,0.995
25.0,
30.0,
35.0,
40.0,
45.0,
50.0,
